number,substituent,σm,σp,F,R,References
145,,0.21,0.17,0.24,-0.07,74
146,,0.44,0.45,0.43,0.02,74
147,,0.50,0.54,0.47,0.07,74
148,,0.60,0.72,0.53,0.19,183
149,,0.43,0.54,0.38,0.16,74
150,,0.39,0.36,0.40,-0.04,156
151,,0.15,0.00,0.23,-0.23,183
152,,0.22,0.13,0.27,-0.14,74
153,,0.10,0.00,0.16,-0.16,183
154,,-0.21,-0.70,0.03,-0.73,164
155,,-0.03,-0.11,0.04,-0.15,74
156,,0.20,0.03,0.28,-0.25,156
157,,0.59,0.53,0.59,-0.06,88
158,,0.58,0.57,0.57,0.00,109
159,,0.50,0.52,0.48,0.04,74
160,,0.63,0.80,0.54,0.26,110
161,,0.48,0.46,0.48,-0.02,74
162,,0.56,0.46,0.58,-0.12,74
163,,0.50,0.50,0.49,0.01,109
164,,0.81,0.81,0.77,0.04,153
165,,0.47,0.52,0.44,0.08,172
166,,0.48,0.28,0.55,-0.27,74
167,,0.92,1.08,0.81,0.27,76
168,,0.44,0.48,0.42,0.06,76
169,,0.40,0.53,(0.35),0.18,145
170,,1.18,1.28,1.07,0.21,62
171,,1.23,1.40,1.09,0.31,62
172,,0.61,0.83,0.50,0.33,103
173,,0.60,0.69,0.55,0.14,109
174,,0.82,0.90,0.75,0.15,74
175,,0.21,0.23,0.22,0.01,171
176,,0.35,0.28,0.38,-0.10,146
177,,0.30,0.12,0.38,-0.26,156
178,,0.76,1.00,0.63,0.37,63
179,,0.34,0.25,0.38,-0.13,178
180,,0.38,0.47,0.35,0.12,178
181,,0.63,0.64,0.60,0.04,165
182,,0.26,0.19,0.30,-0.11,74
183,,0.31,0.24,0.34,-0.10,105
184,,0.28,0.26,0.30,-0.04,105
185,,0.12,0.09,0.15,-0.06,109
186,,0.25,0.24,0.27,-0.03,162
187,,0.29,0.31,0.29,0.02,162
188,,0.12,0.15,0.13,0.02,162
189,,0.16,0.18,0.17,0.01,170
190,,0.32,0.26,0.35,(-0.09),184
191,,0.07,-0.16,0.19,-0.35,88
192,,0.12,0.14,0.14,0.00,74
193,,0.06,-0.04,0.13,-0.17,85
194,,0.17,-0.03,0.27,-0.30,156
195,,0.46,0.44,0.46,-0.02,74
196,,0.39,0.40,0.39,0.01,74
197,,0.54,0.61,0.50,0.11,74
198,,0.05,0.03,0.09,-0.06,74
199,,0.21,-0.09,0.34,-0.43,96
200,,0.38,0.50,0.33,0.17,183
201,,0.39,0.44,0.37,0.07,183
202,,0.39,0.31,0.42,-0.11,183
203,,0.37,0.45,0.34,0.11,175
204,,0.04,0.01,0.08,-0.07,74
205,,0.26,0.20,0.29,-0.09,"99, 105"
206,,0.26,0.21,0.29,-0.08,105
207,,-0.07,-0.22,0.03,-0.25,74
208,,-0.06,-0.10,-0.01,-0.09,74
209,,0.09,0.12,0.10,0.02,74
210,,-0.02,-0.17,0.07,-0.24,68
211,,0.21,0.00,0.31,9.31,183
212,,0.35,0.36,0.35,-0.01,154
213,,0.37,0.30,0.40,0.10,93
214,,0.06,0.07,0.08,-0.01,74
215,,0.24,0.12,0.30,-0.18,154
216,,0.30,0.34,0.29,0.05,154
217,,0.45,0.40,0.46,-0.06,93
218,,-0.12,-0.12,-0.08,-0.04,74
219,,-0.07,-0.15,0.00,-0.15,183
220,,0.22,0.16,0.26,-0.10,93
221,,0.10,-0.24,0.26,-0.50,183
222,,0.08,-0.07,0.16,4 . 2 3,74
223,,0.08,0.01,0.13,-0.12,85
224,,0.66,0.77,0.59,0.18,74
225,,0.18,0.03,0.26,4 . 2 3,"174, 183"
226,,0.38,0.56,0.31,0.25,164
227,,0.13,0.15,0.14,0.01,128
228,,0.16,0.21,0.16,0.05,74
229,,0.12,0.17,0.12,0.04,74
230,,-0.24,-0.61,-0.04,-0.57,"87,187"
231,,-0.16,-0.83,0.15,-0.98,"185, 183"
232,,0.21,0.24,0.21,0.03,"81,74"
233,,0.51,0.65,0.44,0.21,74
234,,0.47,0.49,0.45,0.04,74
235,,0.12,0.09,0.15,-0.06,74
236,,-0.05,-0.03,-0.02,-0.01,72
237,,1.17,1.17,1.10,0.07,116
238,,0.43,0.50,0.40,0.10,74
239,,0.42,0.53,0.37,0.16,152
240,,0.03,0.06,0.05,0.01,69
241,,1.00,0.90,0.98,-0.08,183
242,,1.06,0.96,1.04,-0.08,88
243,,0.23,0.17,0.27,-0.10,74
244,,0.01,0.04,0.03,0.01,74
245,,0.25,0.33,0.23,0.10,147
246,,0.14,0.15,0.16,-0.01,117
247,,-0.02,0.02,0.00,0.02,80
248,,0.49,0.43,0.50,-0.07,147
249,,0.20,0.19,0.22,-0.03,147
250,,0.41,0.51,0.37,0.14,163
251,,0.39,0.46,0.36,0.10,109
252,,0.29,0.23,0.32,-0.09,109
253,,0.44,0.48,0.42,0.06,85
254,,0.37,0.53,(0.31),0.22,172
255,,0.92,1.09,0.81,0.28,76
256,,0.92,1.10,0.80,0.30,76
257,,0.45,0.48,0.43,0.05,76
258,,0.48,0.51,0.46,0.03,76
259,,0.46,0.48,0.45,0.03,76
260,,0.29,0.30,0.29,0.01,172
261,,0.44,0.44,0.43,0.01,74
262,,0.53,0.52,0.52,0.00,74
263,,0.16,0.17,0.18,0.01,165
264,,0.24,0.27,0.24,0.03,165
265,,0.31,0.55,0.22,0.33,74
266,,0.24,0.17,0.28,-0.11,155
267,,0.21,0.03,0.29,-0.26,85
268,,0.41,0.39,0.41,-0.02,74
269,,0.24,0.13,0.29,-0.16,155
270,,-0.07,-0.21,0.02,-0.23,177
271,,0.09,0.05,0.13,-0.08,85
272,,0.02,-0.09,0.09,-0.18,85
273,,-0.11,-0.14,-0.06,-0.08,74
274,,0.56,0.64,0.51,0.13,74
275,,0.09,-0.25,0.25,-0.50,105
276,,0.38,0.48,0.34,0.14,74
277,,0.37,0.45,0.34,0.11,183
278,,0.04,0.05,0.07,-0.02,74
279,,-0.03,-0.07,0.02,-0.09,188
280,,0.19,0.12,0.23,-0.11,105
281,,0.21,0.12,0.26,-0.14,105
282,,-0.26,-0.26,-0.20,-0.06,87
283,,0.31,0.26,0.34,-0.08,74
284,,0.05,-0.05,0.12,-0.17,85
285,,0.11,-0.15,0.23,-0.38,"157, 156"
286,,0.18,0.20,0.19,0.01,"74,190"
287,,0.00,0.00,0.03,-0.03,74
288,,-0.04,-0.15,0.04,-0.19,"85,183"
289,,-0.06,-0.13,0.01,-0.14,"85,87"
290,,1.11,1.11,1.05,0.06,116
291,,0.04,-0.26,0.19,-0.45,154
292,,0.30,0.07,0.40,-0.33,154
